Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
SNAP,Long,2020-09-15,24.52,2020-09-18,23.7844,-3.00%,-11.77,-3.00%,16,392.32,-774.53,4,-2.94,-3.00%,2.85%,0/0
RDY,Long,2020-09-16,61.27,2021-02-01,59.4319,-3.00%,-29.41,-3.00%,16,980.32,16727.32,95,-0.31,-3.00%,17.60%,0/0
FVRR,Long,2020-09-16,131.19,2020-09-17,124.76,-4.90%,-102.88,-4.90%,16,2099.04,-727.62,2,-51.44,-5.48%,0.15%,0/0
TRUP,Long,2020-09-16,73.2,2020-09-17,71.004,-3.00%,-35.14,-3.00%,16,1171.20,-762.76,2,-17.57,-3.03%,5.97%,0/0
TTGT,Long,2020-09-16,41.6,2020-09-18,40.352,-3.00%,-19.97,-3.00%,16,665.60,-794.50,3,-6.66,-3.41%,3.34%,0/0
PLRX,Long,2020-09-18,28.1,2020-09-21,27.257,-3.00%,-13.49,-3.00%,16,449.60,-929.04,2,-6.74,-4.87%,13.67%,0/0
IRTC,Long,2020-09-18,232.59,2020-09-21,225.6123,-3.00%,-111.64,-3.00%,16,3721.44,-915.55,2,-55.82,-3.00%,3.97%,0/0
SAM,Long,2020-09-22,888.61,2020-11-03,1046.02,17.71%,2518.56,17.71%,16,14217.76,8186.74,31,81.24,-3.64%,22.98%,0/0
TWST,Long,2020-09-23,68.29,2020-09-24,66.2413,-3.00%,-32.78,-3.00%,16,1092.64,-1335.34,2,-16.39,-6.52%,3.85%,0/0
BIO,Long,2020-09-23,519.37,2020-09-24,503.7889,-3.00%,-249.30,-3.00%,16,8309.92,-1302.56,2,-124.65,-3.00%,0.85%,0/0
TTGT,Long,2020-09-25,41.99,2020-10-19,49.5986,18.12%,121.74,18.12%,16,671.84,-1448.11,17,7.16,-3.24%,21.89%,0/0
LPRO,Long,2020-09-25,23.28,2020-10-12,27.27166,17.15%,63.87,17.15%,16,372.48,-1773.91,12,5.32,-6.74%,22.42%,0/0
MCRB,Long,2020-09-28,26.91,2020-10-06,28.6732,6.55%,28.21,6.55%,16,430.56,-1577.06,7,4.03,-4.35%,11.48%,0/0
CMPS,Long,2020-09-28,44.33,2020-09-29,39,-12.02%,-85.28,-12.02%,16,709.28,-1420.62,2,-42.64,-17.46%,1.51%,0/0
PRPL,Long,2020-09-28,24.84,2020-09-29,24.0948,-3.00%,-11.92,-3.00%,16,397.44,-1432.54,2,-5.96,-3.00%,1.21%,0/0
SITE,Long,2020-09-28,120.08,2020-10-21,130.2899,8.50%,163.36,8.50%,16,1921.28,3636.01,18,9.08,-0.31%,14.70%,0/0
NVMI,Long,2020-09-28,50.88,2020-12-23,68.97,35.55%,289.44,35.55%,16,814.08,15906.84,62,4.67,-0.91%,42.55%,0/0
ARGX,Long,2020-09-28,250.99,2020-10-15,268.6329,7.03%,282.29,7.03%,16,4015.84,-1455.03,14,20.16,0.00%,13.15%,0/0
SPWR,Long,2020-09-28,10.91,2020-10-21,15.95,46.20%,80.64,46.20%,16,174.56,3716.65,18,4.48,0.00%,77.64%,0/0
CLW,Long,2020-09-28,36.71,2020-10-28,36.084,-1.71%,-10.02,-1.71%,16,587.36,5843.68,23,-0.44,-3.02%,15.64%,0/0
WMS,Long,2020-09-28,59.95,2020-10-20,68.89236,14.92%,143.08,14.92%,16,959.20,-855.24,17,8.42,-3.08%,19.26%,0/0
FSLY,Long,2020-09-29,94.3,2020-10-15,95.35,1.11%,16.80,1.11%,16,1508.80,-1438.23,13,1.29,-8.14%,44.75%,0/0
MCRB,Long,2020-09-29,27.2,2020-10-06,28.6732,5.42%,23.57,5.42%,16,435.20,-1553.49,6,3.93,-2.57%,10.29%,0/0
W,Long,2020-09-30,307.57,2020-10-01,298.3429,-3.00%,-147.63,-3.00%,16,4921.12,-1595.93,2,-73.82,-6.81%,0.03%,0/0
CLW,Long,2020-09-30,37.2,2020-10-28,36.084,-3.00%,-17.86,-3.00%,16,595.20,5825.83,21,-0.85,-4.03%,14.11%,0/0
KYMR,Long,2020-09-30,32.83,2020-10-01,31.8451,-3.00%,-15.76,-3.00%,16,525.28,-1448.30,2,-7.88,-6.91%,0.52%,0/0
VRT,Long,2020-09-30,17.31,2020-11-10,16.7907,-3.00%,-8.31,-3.00%,16,276.96,14218.69,30,-0.28,-3.00%,10.57%,0/0
TENB,Long,2020-10-01,38.73,2020-10-15,40.17,3.72%,23.04,3.72%,16,619.68,-1415.19,11,2.09,-3.15%,9.45%,0/0
